"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 06 15:53:22 CST 2023","Mon Nov 06 15:53:28 CST 2023","6149","testcases.test_add_sub_module","test_add","TestAddSub","","","[case01] Verify that the calculator can complete the addition function normally",""
"passed","Mon Nov 06 15:53:49 CST 2023","Mon Nov 06 15:53:53 CST 2023","3244","testcases.test_mul_div_module","test_div","TestAddSub","","","[case01] 验证计算机能否正常完成除法功能",""
"passed","Mon Nov 06 15:54:02 CST 2023","Mon Nov 06 15:54:06 CST 2023","3882","testcases.test_mul_div_module","test_mul","TestAddSub","","","[case02] 验证计算机能否正常完成乘法功能",""
"passed","Mon Nov 06 15:53:37 CST 2023","Mon Nov 06 15:53:40 CST 2023","3096","testcases.test_add_sub_module","test_sub","TestAddSub","","","[case02] Verify that the calculator can complete the subtraction function normally",""
